Sex,Age,Education,Food,MeanConsumption_total,5PercentileConsumption,50PercentileConsuption,95PercentileConsumption,ConsumptionDays,MeanConsumptiononConsumptionDays,5percentileConsumptiondays,50percentileConsumptiondays,95percentileConsumptiondays
Total male and female,19 to 79 years,Education: lower,1403. Beer,92.9,0.0,0.0,630.0,11.6,820.5,300.0,600.0,2310.0
Male,19 to 79 years,Education: lower,1403. Beer,181.6,0.0,0.0,900.0,21.4,869.5,300.0,600.0,2900.0
Female,19 to 79 years,Education: lower,1403. Beer,19.7,0.0,0.0,150.0,3.6,578.5,150.0,600.0,1000.0
Total male and female,1 to 18 years,Education: intermediate,1403. Beer,22.3,0.0,0.0,0.0,1.8,1291.8,250.0,700.0,4800.0
Male,1 to 18 years,Education: intermediate,1403. Beer,41.4,0.0,0.0,150.0,3.0,1383.5,250.0,730.0,5280.0
Female,1 to 18 years,Education: intermediate,1403. Beer,2.2,0.0,0.0,0.0,0.4,566.7,300.0,300.0,940.0
Total male and female,19 to 79 years,Education: intermediate,1403. Beer,131.8,0.0,0.0,765.0,15.1,889.7,300.0,600.0,2500.0
Male,19 to 79 years,Education: intermediate,1403. Beer,240.2,0.0,0.0,1250.0,26.6,923.2,300.0,600.0,2580.0
Female,19 to 79 years,Education: intermediate,1403. Beer,15.3,0.0,0.0,150.0,2.6,528.1,300.0,300.0,960.0
Total male and female,1 to 18 years,Education: higher,1403. Beer,5.0,0.0,0.0,0.0,0.5,1104.3,117.5,700.0,5040.0
Male,1 to 18 years,Education: higher,1403. Beer,9.6,0.0,0.0,0.0,0.8,1232.5,300.0,700.0,5040.0
Female,1 to 18 years,Education: higher,1403. Beer,0.1,0.0,0.0,0.0,0.1,117.5,117.5,117.5,117.5
Total male and female,19 to 79 years,Education: higher,1403. Beer,105.4,0.0,0.0,650.0,16.6,625.7,250.0,500.0,1980.0
Male,19 to 79 years,Education: higher,1403. Beer,176.4,0.0,0.0,955.0,27.3,641.2,250.0,500.0,2000.0
Female,19 to 79 years,Education: higher,1403. Beer,29.8,0.0,0.0,200.0,5.3,541.4,191.7,400.0,1000.0
Total male and female,1 to 18 years,Education: lower,1404. Spirits,1.4,0.0,0.0,0.0,0.2,932.6,932.6,932.6,932.6
Male,1 to 18 years,Education: lower,1404. Spirits,2.8,0.0,0.0,0.0,0.3,932.6,932.6,932.6,932.6
Female,1 to 18 years,Education: lower,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,1404. Spirits,4.1,0.0,0.0,27.5,4.8,81.5,28.5,74.4,190.0
Male,19 to 79 years,Education: lower,1404. Spirits,7.2,0.0,0.0,65.3,8.2,86.2,33.3,76.0,254.9
Female,19 to 79 years,Education: lower,1404. Spirits,1.5,0.0,0.0,0.0,1.9,65.2,28.5,55.0,133.0
Total male and female,1 to 18 years,Education: intermediate,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: intermediate,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: intermediate,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: intermediate,1404. Spirits,4.2,0.0,0.0,25.7,4.9,81.6,19.0,57.0,228.0
Male,19 to 79 years,Education: intermediate,1404. Spirits,7.0,0.0,0.0,52.3,8.1,82.3,19.0,57.0,217.5
Female,19 to 79 years,Education: intermediate,1404. Spirits,1.1,0.0,0.0,0.0,1.4,77.4,37.2,63.3,237.5
Total male and female,1 to 18 years,Education: higher,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: higher,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: higher,1404. Spirits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: higher,1404. Spirits,3.9,0.0,0.0,23.8,4.7,87.6,27.3,66.0,251.8
Male,19 to 79 years,Education: higher,1404. Spirits,6.7,0.0,0.0,47.5,7.4,94.7,22.6,66.5,251.8
Female,19 to 79 years,Education: higher,1404. Spirits,1.0,0.0,0.0,0.0,1.8,56.1,38.0,47.5,72.8
Total male and female,1 to 18 years,Education: lower,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: lower,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: lower,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,19 to 79 years,Education: lower,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: lower,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: intermediate,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: intermediate,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: intermediate,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: intermediate,1405. Aniseed drinks,0.1,0.0,0.0,0.0,0.2,62.2,60.0,60.0,66.0
Male,19 to 79 years,Education: intermediate,1405. Aniseed drinks,0.1,0.0,0.0,0.0,0.1,66.0,66.0,66.0,66.0
Female,19 to 79 years,Education: intermediate,1405. Aniseed drinks,0.1,0.0,0.0,0.0,0.2,60.0,60.0,60.0,60.0
Total male and female,1 to 18 years,Education: higher,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: higher,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: higher,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: higher,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.2,13.2,13.2,13.2,13.2
Male,19 to 79 years,Education: higher,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,19 to 79 years,Education: higher,1405. Aniseed drinks,0.0,0.0,0.0,0.0,0.4,13.2,13.2,13.2,13.2
Total male and female,1 to 18 years,Education: lower,1406. Liqueurs,0.3,0.0,0.0,0.0,0.2,201.3,201.3,201.3,201.3
Male,1 to 18 years,Education: lower,1406. Liqueurs,0.7,0.0,0.0,0.0,0.3,201.3,201.3,201.3,201.3
Female,1 to 18 years,Education: lower,1406. Liqueurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,1406. Liqueurs,1.5,0.0,0.0,0.0,2.0,76.1,33.0,55.0,183.3
Male,19 to 79 years,Education: lower,1406. Liqueurs,0.6,0.0,0.0,0.0,0.9,67.5,44.0,66.0,126.5
Female,19 to 79 years,Education: lower,1406. Liqueurs,2.3,0.0,0.0,16.5,2.9,78.3,33.0,55.0,183.3
Total male and female,1 to 18 years,Education: intermediate,1406. Liqueurs,0.1,0.0,0.0,0.0,0.1,57.3,51.3,57.3,63.3
Male,1 to 18 years,Education: intermediate,1406. Liqueurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: intermediate,1406. Liqueurs,0.2,0.0,0.0,0.0,0.3,57.3,51.3,57.3,63.3
Total male and female,19 to 79 years,Education: intermediate,1406. Liqueurs,1.1,0.0,0.0,0.0,1.4,86.0,11.0,55.0,253.0
Male,19 to 79 years,Education: intermediate,1406. Liqueurs,0.5,0.0,0.0,0.0,1.0,63.2,33.0,55.0,110.0
Female,19 to 79 years,Education: intermediate,1406. Liqueurs,1.8,0.0,0.0,0.0,1.9,98.4,11.0,66.0,451.0
Total male and female,1 to 18 years,Education: higher,1406. Liqueurs,0.1,0.0,0.0,0.0,0.1,138.6,43.1,209.0,209.0
Male,1 to 18 years,Education: higher,1406. Liqueurs,0.2,0.0,0.0,0.0,0.1,209.0,209.0,209.0,209.0
Female,1 to 18 years,Education: higher,1406. Liqueurs,0.0,0.0,0.0,0.0,0.1,43.1,43.1,43.1,43.1
Total male and female,19 to 79 years,Education: higher,1406. Liqueurs,0.8,0.0,0.0,0.0,1.5,57.5,13.2,52.3,126.5
Male,19 to 79 years,Education: higher,1406. Liqueurs,1.1,0.0,0.0,0.0,2.1,52.2,13.2,36.7,110.0
Female,19 to 79 years,Education: higher,1406. Liqueurs,0.6,0.0,0.0,0.0,0.8,71.5,22.0,82.5,126.5
Total male and female,1 to 18 years,Education: lower,15. Sauces and seasonings,28.4,0.0,21.8,84.2,68.2,42.2,3.0,28.1,123.9
Male,1 to 18 years,Education: lower,15. Sauces and seasonings,30.6,0.0,23.7,84.3,67.3,46.7,4.5,30.0,125.0
Female,1 to 18 years,Education: lower,15. Sauces and seasonings,26.0,0.0,18.9,84.2,69.1,37.5,1.4,25.0,119.2
Total male and female,19 to 79 years,Education: lower,15. Sauces and seasonings,37.0,0.0,26.8,105.9,73.7,50.4,3.6,36.1,150.7
Male,19 to 79 years,Education: lower,15. Sauces and seasonings,44.3,0.0,32.6,123.8,76.3,58.5,5.0,45.0,160.2
Female,19 to 79 years,Education: lower,15. Sauces and seasonings,31.0,0.0,23.5,91.9,71.7,43.2,2.7,27.8,139.0
Total male and female,1 to 18 years,Education: intermediate,15. Sauces and seasonings,25.4,0.0,16.6,83.9,65.7,39.0,2.9,25.0,114.5
Male,1 to 18 years,Education: intermediate,15. Sauces and seasonings,26.8,0.0,17.3,87.3,67.5,39.9,2.4,27.0,115.0
Female,1 to 18 years,Education: intermediate,15. Sauces and seasonings,24.0,0.0,15.0,78.5,63.8,38.0,3.7,25.0,114.5
Total male and female,19 to 79 years,Education: intermediate,15. Sauces and seasonings,40.7,0.0,29.1,124.4,73.3,55.7,4.8,38.8,172.0
Male,19 to 79 years,Education: intermediate,15. Sauces and seasonings,47.7,0.0,33.2,148.0,75.4,63.8,6.0,42.8,198.5
Female,19 to 79 years,Education: intermediate,15. Sauces and seasonings,33.3,0.0,25.5,91.2,71.1,46.6,3.6,33.3,138.0
Total male and female,1 to 18 years,Education: higher,15. Sauces and seasonings,19.5,0.0,12.8,63.0,58.0,33.8,2.5,24.3,92.9
Male,1 to 18 years,Education: higher,15. Sauces and seasonings,20.6,0.0,12.2,70.4,56.0,37.2,2.5,25.0,100.0
Female,1 to 18 years,Education: higher,15. Sauces and seasonings,18.3,0.0,13.2,55.3,60.1,30.3,2.4,23.3,81.8
Total male and female,19 to 79 years,Education: higher,15. Sauces and seasonings,36.9,0.0,26.5,114.0,72.3,51.8,3.9,35.6,156.2
Male,19 to 79 years,Education: higher,15. Sauces and seasonings,44.0,0.0,34.0,124.2,74.8,59.4,4.6,42.0,172.7
Female,19 to 79 years,Education: higher,15. Sauces and seasonings,29.3,0.0,20.2,101.2,69.6,43.3,2.5,30.0,134.8
Total male and female,1 to 18 years,Education: lower,1500. Unclassified or combined sauces,0.1,0.0,0.0,0.0,0.5,24.7,24.7,24.7,24.7
Male,1 to 18 years,Education: lower,1500. Unclassified or combined sauces,0.2,0.0,0.0,0.0,1.0,24.7,24.7,24.7,24.7
Female,1 to 18 years,Education: lower,1500. Unclassified or combined sauces,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,1500. Unclassified or combined sauces,0.2,0.0,0.0,0.0,0.7,31.6,10.0,18.0,79.6
Male,19 to 79 years,Education: lower,1500. Unclassified or combined sauces,0.1,0.0,0.0,0.0,0.5,16.6,13.0,13.0,38.9
Female,19 to 79 years,Education: lower,1500. Unclassified or combined sauces,0.3,0.0,0.0,0.0,0.8,40.1,10.0,18.0,79.6
Total male and female,1 to 18 years,Education: intermediate,1500. Unclassified or combined sauces,0.1,0.0,0.0,0.0,0.2,42.9,17.0,49.4,49.4
Male,1 to 18 years,Education: intermediate,1500. Unclassified or combined sauces,0.1,0.0,0.0,0.0,0.3,39.8,17.0,49.4,49.4
Female,1 to 18 years,Education: intermediate,1500. Unclassified or combined sauces,0.1,0.0,0.0,0.0,0.2,49.4,49.4,49.4,49.4
Total male and female,19 to 79 years,Education: intermediate,1500. Unclassified or combined sauces,0.6,0.0,0.0,0.0,1.0,60.6,10.3,39.6,234.0
Male,19 to 79 years,Education: intermediate,1500. Unclassified or combined sauces,0.8,0.0,0.0,0.0,0.9,97.8,12.4,50.0,234.0
Female,19 to 79 years,Education: intermediate,1500. Unclassified or combined sauces,0.3,0.0,0.0,0.0,1.1,29.7,10.3,25.2,49.4
Total male and female,1 to 18 years,Education: higher,1500. Unclassified or combined sauces,0.3,0.0,0.0,0.0,1.0,32.0,6.5,24.7,178.5
Male,1 to 18 years,Education: higher,1500. Unclassified or combined sauces,0.4,0.0,0.0,0.0,0.9,42.0,6.5,17.0,178.5
Female,1 to 18 years,Education: higher,1500. Unclassified or combined sauces,0.2,0.0,0.0,0.0,1.1,23.4,4.1,24.7,40.0
Total male and female,19 to 79 years,Education: higher,1500. Unclassified or combined sauces,1.5,0.0,0.0,6.2,3.4,42.7,5.0,30.6,102.0
Male,19 to 79 years,Education: higher,1500. Unclassified or combined sauces,1.5,0.0,0.0,12.5,3.3,46.0,4.0,40.0,98.9
Female,19 to 79 years,Education: higher,1500. Unclassified or combined sauces,1.4,0.0,0.0,4.4,3.6,39.3,5.0,25.0,138.2
Total male and female,1 to 18 years,Education: lower,1501. Savory Sauces,27.1,0.0,21.3,79.4,61.5,44.6,6.6,30.0,123.9
Male,1 to 18 years,Education: lower,1501. Savory Sauces,29.1,0.0,23.1,79.0,63.5,47.1,6.2,30.0,125.0
Female,1 to 18 years,Education: lower,1501. Savory Sauces,24.9,0.0,18.4,84.2,59.5,41.8,8.6,31.3,119.3
Total male and female,19 to 79 years,Education: lower,1501. Savory Sauces,34.5,0.0,24.7,102.2,63.6,54.4,8.2,40.0,150.8
Male,19 to 79 years,Education: lower,1501. Savory Sauces,41.7,0.0,30.0,117.8,66.7,62.7,9.0,48.1,164.8
Female,19 to 79 years,Education: lower,1501. Savory Sauces,28.7,0.0,20.0,81.8,61.1,46.9,5.8,34.7,140.8
Total male and female,1 to 18 years,Education: intermediate,1501. Savory Sauces,24.4,0.0,14.6,81.7,57.7,42.6,5.8,28.8,118.1
Male,1 to 18 years,Education: intermediate,1501. Savory Sauces,25.4,0.0,15.3,87.3,58.0,44.1,4.6,30.5,116.3
Female,1 to 18 years,Education: intermediate,1501. Savory Sauces,23.3,0.0,14.5,77.6,57.5,41.0,6.5,27.2,130.0
Total male and female,19 to 79 years,Education: intermediate,1501. Savory Sauces,37.5,0.0,25.3,119.6,63.1,59.7,7.8,41.9,173.3
Male,19 to 79 years,Education: intermediate,1501. Savory Sauces,43.8,0.0,28.6,140.3,64.5,68.5,9.0,48.5,198.5
Female,19 to 79 years,Education: intermediate,1501. Savory Sauces,30.8,0.0,24.0,89.1,61.6,49.8,5.8,34.9,138.0
Total male and female,1 to 18 years,Education: higher,1501. Savory Sauces,18.2,0.0,12.0,60.5,49.0,37.3,4.5,26.5,99.8
Male,1 to 18 years,Education: higher,1501. Savory Sauces,19.1,0.0,11.3,65.0,46.3,41.8,5.5,28.2,107.5
Female,1 to 18 years,Education: higher,1501. Savory Sauces,17.3,0.0,12.5,55.2,51.9,33.1,4.5,25.0,84.0
Total male and female,19 to 79 years,Education: higher,1501. Savory Sauces,32.6,0.0,22.7,106.5,59.4,55.8,6.8,39.6,166.0
Male,19 to 79 years,Education: higher,1501. Savory Sauces,39.1,0.0,28.4,117.8,62.1,63.5,9.8,48.4,200.0
Female,19 to 79 years,Education: higher,1501. Savory Sauces,25.7,0.0,18.2,96.9,56.5,46.8,5.9,32.6,134.8
Total male and female,1 to 18 years,Education: lower,150100. Other and mixed sauces,11.7,0.0,0.0,61.9,27.8,41.8,7.3,24.3,123.9
Male,1 to 18 years,Education: lower,150100. Other and mixed sauces,13.9,0.0,0.0,67.2,32.2,43.3,3.9,24.3,123.9
Female,1 to 18 years,Education: lower,150100. Other and mixed sauces,9.3,0.0,0.0,58.5,23.1,39.6,10.9,24.3,117.0
Total male and female,19 to 79 years,Education: lower,150100. Other and mixed sauces,15.7,0.0,2.9,65.5,31.7,49.0,8.7,34.9,139.7
Male,19 to 79 years,Education: lower,150100. Other and mixed sauces,18.3,0.0,6.1,73.8,34.7,52.2,11.6,39.6,147.5
Female,19 to 79 years,Education: lower,150100. Other and mixed sauces,13.5,0.0,0.0,65.5,29.3,45.8,6.1,32.0,130.5
Total male and female,1 to 18 years,Education: intermediate,150100. Other and mixed sauces,8.2,0.0,0.0,43.0,23.8,34.8,4.7,24.3,91.2
Male,1 to 18 years,Education: intermediate,150100. Other and mixed sauces,8.1,0.0,0.0,43.0,22.7,36.0,3.9,24.3,96.0
Female,1 to 18 years,Education: intermediate,150100. Other and mixed sauces,8.4,0.0,0.0,43.5,24.9,33.5,5.8,24.3,88.8
Total male and female,19 to 79 years,Education: intermediate,150100. Other and mixed sauces,15.8,0.0,1.8,66.7,31.8,49.6,8.1,34.9,143.0
Male,19 to 79 years,Education: intermediate,150100. Other and mixed sauces,19.0,0.0,5.8,78.7,33.8,56.0,8.0,37.5,156.0
Female,19 to 79 years,Education: intermediate,150100. Other and mixed sauces,12.3,0.0,0.0,52.0,29.6,41.7,8.1,29.0,108.0
Total male and female,1 to 18 years,Education: higher,150100. Other and mixed sauces,5.9,0.0,0.0,29.6,19.4,31.0,4.7,24.3,72.0
Male,1 to 18 years,Education: higher,150100. Other and mixed sauces,5.9,0.0,0.0,29.5,18.7,32.6,5.8,24.3,72.0
Female,1 to 18 years,Education: higher,150100. Other and mixed sauces,6.0,0.0,0.0,30.0,20.2,29.4,4.1,24.3,79.0
Total male and female,19 to 79 years,Education: higher,150100. Other and mixed sauces,13.3,0.0,0.0,61.8,26.3,51.1,5.1,36.0,155.0
Male,19 to 79 years,Education: higher,150100. Other and mixed sauces,17.4,0.0,0.0,78.2,29.4,60.1,10.0,46.6,200.0
Female,19 to 79 years,Education: higher,150100. Other and mixed sauces,8.9,0.0,0.0,42.0,23.0,38.8,3.6,27.9,91.0
Total male and female,1 to 18 years,Education: lower,150101. Tomato sauces,7.6,0.0,0.0,42.0,20.8,36.9,5.5,25.0,104.6
Male,1 to 18 years,Education: lower,150101. Tomato sauces,7.3,0.0,0.0,34.0,20.4,37.1,5.5,25.0,158.7
Female,1 to 18 years,Education: lower,150101. Tomato sauces,7.9,0.0,0.0,45.3,21.1,36.6,9.5,25.0,90.7
Total male and female,19 to 79 years,Education: lower,150101. Tomato sauces,5.6,0.0,0.0,35.3,13.2,43.3,4.6,30.0,117.8
Male,19 to 79 years,Education: lower,150101. Tomato sauces,8.5,0.0,0.0,58.4,17.7,48.8,5.0,41.0,117.8
Female,19 to 79 years,Education: lower,150101. Tomato sauces,3.2,0.0,0.0,20.0,9.5,34.9,4.0,27.5,119.2
Total male and female,1 to 18 years,Education: intermediate,150101. Tomato sauces,7.3,0.0,0.0,41.7,20.6,35.8,7.0,25.0,107.5
Male,1 to 18 years,Education: intermediate,150101. Tomato sauces,7.8,0.0,0.0,41.7,21.9,36.0,8.7,25.0,100.0
Female,1 to 18 years,Education: intermediate,150101. Tomato sauces,6.7,0.0,0.0,41.4,19.2,35.6,5.2,24.0,112.8
Total male and female,19 to 79 years,Education: intermediate,150101. Tomato sauces,7.2,0.0,0.0,45.6,14.8,49.6,5.5,28.9,150.0
Male,19 to 79 years,Education: intermediate,150101. Tomato sauces,8.7,0.0,0.0,52.0,15.9,56.1,6.2,32.8,163.2
Female,19 to 79 years,Education: intermediate,150101. Tomato sauces,5.6,0.0,0.0,36.5,13.6,41.4,2.3,27.6,130.0
Total male and female,1 to 18 years,Education: higher,150101. Tomato sauces,6.4,0.0,0.0,34.2,17.8,35.9,4.6,25.0,107.5
Male,1 to 18 years,Education: higher,150101. Tomato sauces,7.1,0.0,0.0,35.0,18.3,39.0,4.6,27.5,156.0
Female,1 to 18 years,Education: higher,150101. Tomato sauces,5.7,0.0,0.0,34.2,17.4,32.5,4.4,22.0,100.0
Total male and female,19 to 79 years,Education: higher,150101. Tomato sauces,6.9,0.0,0.0,43.8,15.5,46.2,10.3,27.6,150.0
Male,19 to 79 years,Education: higher,150101. Tomato sauces,7.4,0.0,0.0,43.8,16.7,45.3,8.3,28.0,150.0
Female,19 to 79 years,Education: higher,150101. Tomato sauces,6.3,0.0,0.0,44.2,14.2,47.3,10.9,21.8,150.0
Total male and female,1 to 18 years,Education: lower,150102. Dressings,6.6,0.0,1.4,27.6,28.8,23.9,4.5,19.7,60.4
Male,1 to 18 years,Education: lower,150102. Dressings,7.0,0.0,2.8,25.1,28.9,25.9,5.5,24.0,85.8
Female,1 to 18 years,Education: lower,150102. Dressings,6.1,0.0,0.7,27.6,28.7,21.7,3.6,17.0,47.0
Total male and female,19 to 79 years,Education: lower,150102. Dressings,8.7,0.0,0.0,41.0,28.6,30.6,3.4,23.3,91.0
Male,19 to 79 years,Education: lower,150102. Dressings,10.1,0.0,0.0,48.8,28.4,36.2,4.2,25.5,102.0
Female,19 to 79 years,Education: lower,150102. Dressings,7.6,0.0,0.0,35.7,28.8,26.1,3.0,21.8,70.0
Total male and female,1 to 18 years,Education: intermediate,150102. Dressings,7.1,0.0,0.0,31.8,26.4,27.2,3.8,22.7,66.0
Male,1 to 18 years,Education: intermediate,150102. Dressings,7.7,0.0,0.0,40.0,26.1,29.4,3.9,25.0,75.0
Female,1 to 18 years,Education: intermediate,150102. Dressings,6.6,0.0,0.0,27.0,26.7,25.0,3.6,20.0,55.0
Total male and female,19 to 79 years,Education: intermediate,150102. Dressings,8.7,0.0,0.0,36.5,28.4,31.2,4.4,24.0,81.0
Male,19 to 79 years,Education: intermediate,150102. Dressings,9.3,0.0,0.0,41.6,25.9,36.3,5.8,25.0,93.4
Female,19 to 79 years,Education: intermediate,150102. Dressings,8.2,0.0,1.1,35.3,31.0,26.6,3.9,21.8,71.0
Total male and female,1 to 18 years,Education: higher,150102. Dressings,4.9,0.0,0.0,25.5,21.6,22.6,3.3,17.0,60.0
Male,1 to 18 years,Education: higher,150102. Dressings,5.3,0.0,0.0,27.5,20.6,25.8,3.8,20.0,71.8
Female,1 to 18 years,Education: higher,150102. Dressings,4.4,0.0,0.0,20.0,22.8,19.5,1.9,17.0,46.3
Total male and female,19 to 79 years,Education: higher,150102. Dressings,7.3,0.0,0.0,31.4,28.2,26.5,3.9,22.8,62.8
Male,19 to 79 years,Education: higher,150102. Dressings,8.1,0.0,0.0,34.9,27.7,29.1,3.9,24.0,75.7
Female,19 to 79 years,Education: higher,150102. Dressings,6.5,0.0,0.0,25.5,28.6,23.9,3.9,20.6,51.0
Total male and female,1 to 18 years,Education: lower,150103. Mayonnaise based spreads,1.2,0.0,0.0,7.2,3.6,35.7,9.6,20.0,149.9
Male,1 to 18 years,Education: lower,150103. Mayonnaise based spreads,0.8,0.0,0.0,0.0,3.3,26.4,5.0,20.0,62.2
Female,1 to 18 years,Education: lower,150103. Mayonnaise based spreads,1.6,0.0,0.0,7.8,4.0,43.9,9.6,30.0,149.9
Total male and female,19 to 79 years,Education: lower,150103. Mayonnaise based spreads,4.6,0.0,0.0,30.2,9.2,49.5,9.6,40.0,130.2
Male,19 to 79 years,Education: lower,150103. Mayonnaise based spreads,4.7,0.0,0.0,29.1,7.3,65.3,15.0,40.0,160.0
Female,19 to 79 years,Education: lower,150103. Mayonnaise based spreads,4.5,0.0,0.0,30.2,10.8,40.8,5.2,33.3,112.3
Total male and female,1 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,1.8,0.0,0.0,10.0,3.7,47.3,5.6,30.0,150.0
Male,1 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,1.8,0.0,0.0,10.0,3.8,47.1,5.6,30.0,188.9
Female,1 to 18 years,Education: intermediate,150103. Mayonnaise based spreads,1.7,0.0,0.0,12.5,3.6,47.6,10.0,39.6,125.0
Total male and female,19 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,5.8,0.0,0.0,40.0,10.2,56.3,10.0,40.0,156.0
Male,19 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,6.8,0.0,0.0,43.0,12.1,57.5,10.0,40.0,156.0
Female,19 to 79 years,Education: intermediate,150103. Mayonnaise based spreads,4.7,0.0,0.0,30.2,8.1,54.6,13.3,38.5,150.0
Total male and female,1 to 18 years,Education: higher,150103. Mayonnaise based spreads,1.0,0.0,0.0,5.2,3.2,31.0,4.8,25.0,99.8
Male,1 to 18 years,Education: higher,150103. Mayonnaise based spreads,0.8,0.0,0.0,2.4,2.8,29.7,3.2,23.9,109.6
Female,1 to 18 years,Education: higher,150103. Mayonnaise based spreads,1.2,0.0,0.0,7.5,3.7,32.0,5.6,25.0,99.8
Total male and female,19 to 79 years,Education: higher,150103. Mayonnaise based spreads,5.1,0.0,0.0,31.3,10.6,48.3,10.0,40.0,120.7
Male,19 to 79 years,Education: higher,150103. Mayonnaise based spreads,6.2,0.0,0.0,40.0,11.4,53.9,10.0,49.9,150.0
Female,19 to 79 years,Education: higher,150103. Mayonnaise based spreads,3.9,0.0,0.0,28.9,9.6,41.2,9.6,30.0,120.7
Total male and female,1 to 18 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Male,1 to 18 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Female,1 to 18 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,19 to 79 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.2,1.4,0.7,0.8,4.0
Male,19 to 79 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.1,0.8,0.7,0.7,0.8
Female,19 to 79 years,Education: lower,1503. Spices,0.0,0.0,0.0,0.0,0.3,1.6,0.8,0.8,4.0
Total male and female,1 to 18 years,Education: intermediate,1503. Spices,0.0,0.0,0.0,0.0,0.1,0.7,0.1,1.0,1.0
Male,1 to 18 years,Education: intermediate,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
Female,1 to 18 years,Education: intermediate,1503. Spices,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0
Total male and female,19 to 79 years,Education: intermediate,1503. Spices,0.0,0.0,0.0,0.0,0.3,8.0,4.2,8.0,12.0
Male,19 to 79 years,Education: intermediate,1503. Spices,0.0,0.0,0.0,0.0,0.5,8.0,4.2,8.0,12.0
Female,19 to 79 years,Education: intermediate,1503. Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total male and female,1 to 18 years,Education: higher,1503. Spices,0.0,0.0,0.0,0.0,0.2,1.5,0.1,0.4,3.3
Male,1 to 18 years,Education: higher,1503. Spices,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.4
Female,1 to 18 years,Education: higher,1503. Spices,0.0,0.0,0.0,0.0,0.2,2.7,0.1,3.3,3.3
Total male and female,19 to 79 years,Education: higher,1503. Spices,0.0,0.0,0.0,0.0,1.4,3.6,0.6,3.1,8.0
